feature_name,coef,abs_coef,permutation_importance
cat__tumor_subtype_luminal,-0.9993721223339528,0.9993721223339528,0.03789255000483143
cat__tumor_subtype_her2_pure,0.812240995339176,0.812240995339176,0.01053966566818051
cat__tumor_subtype_luminal_a,-0.7440084064241773,0.7440084064241773,0.039192192482365475
cat__tumor_subtype_her2_enriched,0.7374132660334304,0.7374132660334304,0.025207749541018454
cat__tumor_subtype_nan,-0.41892051354431664,0.41892051354431664,0.0
cat__tumor_subtype_triple_negative,0.31631589691581674,0.31631589691581674,0.007363030244468077
cat__tumor_subtype_luminal_b,0.30257016103826034,0.30257016103826034,-0.0015979804812058962
num__bbox_volume,-0.17139650244747257,0.17139650244747257,0.00028022031114119936
num__age,-0.08739760826224162,0.08739760826224162,0.005065102908493585
