Peri Mode,Force 2D,Radius (mm),Classifier,Test AUC,Train AUC,CV AUC
3D,False,2.5,RF,0.633,0.938,0.538
2D,False,2.5,RF,0.626,0.862,0.539
3D,False,2.5,Logistic,0.623,0.654,0.560
2D,False,5,RF,0.619,0.878,0.540
3D,True,2.5,RF,0.614,0.934,0.519
3D,False,5,RF,0.612,0.956,0.519
2D,True,5,RF,0.608,0.880,0.525
2D,True,5,Logistic,0.607,0.657,0.545
3D,True,2.5,Logistic,0.607,0.661,0.544
2D,True,2.5,RF,0.604,0.891,0.530
2D,False,2.5,Logistic,0.595,0.647,0.537
2D,True,2.5,Logistic,0.590,0.655,0.546
3D,False,2.5,XGBoost,0.580,0.935,0.522
2D,False,5,Logistic,0.580,0.620,0.555
3D,False,5,Logistic,0.580,0.612,0.547
3D,True,2.5,XGBoost,0.580,0.980,0.521
3D,True,5,Logistic,0.577,0.633,0.551
3D,False,5,XGBoost,0.568,0.938,0.502
2D,True,2.5,XGBoost,0.567,0.938,0.527
2D,False,2.5,XGBoost,0.566,0.996,0.536
2D,False,5,XGBoost,0.543,0.976,0.535
2D,True,5,XGBoost,0.535,1.000,0.545
3D,True,5,XGBoost,0.531,1.000,0.498
