run_name,arm_name,model_family,split_mode,selected_features,status,n_features,n_samples,auc_mean,auc_std,ap_mean,ap_std,accuracy_mean,accuracy_std,auc_mean_delta_vs_clinical_plus_tumor_size__lr__cv,auc_fold_delta_mean_vs_clinical_plus_tumor_size__lr__cv,auc_fold_delta_std_vs_clinical_plus_tumor_size__lr__cv
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,lr,cv,"clinical,tumor_size",ok,14,808,0.5710268577915636,0.04587460419355369,0.3567534916366202,0.033329224408491,,,0.0,0.0,0.0
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,xgb,cv,"clinical,tumor_size",ok,14,808,0.5265988118929295,0.044645315515502236,0.347824164399686,0.032318979157050315,,,-0.04442804589863414,-0.04442804589863408,0.023237306057556653
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,lr,cv,"clinical,tumor_size,morph",ok,61,808,0.5874732033555563,0.032263847679064254,0.3759496842795943,0.023248663736482256,,,0.016446345563992715,0.01644634556399265,0.021734534284918682
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,xgb,cv,"clinical,tumor_size,morph",ok,61,808,0.5798922513628396,0.03141371325223902,0.39048833465564137,0.03797700774911998,,,0.008865393571276026,0.00886539357127596,0.03811453808653912
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,lr,cv,"clinical,tumor_size,graph",ok,64,808,0.585607444136856,0.056958497310649954,0.38017944605743914,0.05581679615860774,,,0.014580586345292357,0.01458058634529229,0.03371867332088905
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,xgb,cv,"clinical,tumor_size,graph",ok,64,808,0.5272702505055447,0.01581301633310692,0.34906872110446513,0.008372090426555342,,,-0.043756607286018934,-0.043756607286019024,0.03455166296540572
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,lr,cv,"clinical,tumor_size,kinematic",ok,836,808,0.586721495250907,0.041230490018400706,0.38146582985186306,0.037096998160376926,,,0.015694637459343408,0.015694637459343387,0.01887942696670999
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,xgb,cv,"clinical,tumor_size,kinematic",ok,836,808,0.5620281634987517,0.05908602135468971,0.3873060908801992,0.0458889136841322,,,-0.00899869429281186,-0.008998694292811926,0.058161951947406844
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,lr,cv,"clinical,tumor_size,morph,graph,kinematic",ok,933,808,0.5951859737153854,0.032527192188553676,0.3961176660309086,0.03405560910531739,,,0.024159115923821806,0.024159115923821826,0.015391760311261769
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,xgb,cv,"clinical,tumor_size,morph,graph,kinematic",ok,933,808,0.6064163402398697,0.027645355962243743,0.41540320474500414,0.01962198622657878,,,0.03538948244830609,0.03538948244830602,0.03277303354146373
