feature,importance
_bifurcation__bifurcation__points_angle__std,0.06828691454620132
_bifurcation__bifurcation__points_angle__max,0.06778882045526204
_bifurcation__bifurcation__points_angle__mean,0.06612206758233544
_bifurcation__bifurcation__points_angle__min,0.0641272312482593
_bifurcation__angles__seg2/seg3__mean,0.035713100354222996
_bifurcation__angles__seg1/seg2__mean,0.03345296995139647
_bifurcation__angles__seg1/seg3__mean,0.033413114308472686
_bifurcation__angles__seg1/seg3__min,0.033392528763681505
_bifurcation__angles__seg2/seg3__max,0.033380245406792367
_bifurcation__angles__seg1/seg2__max,0.03289723031359939
_bifurcation__angles__seg2/seg3__min,0.032110797752087056
_bifurcation__angles__seg1/seg2__min,0.032076925355275815
_bifurcation__angles__seg1/seg3__max,0.031310135546779284
__length__mean,0.02646813326845928
__volume__min,0.0257373610259134
__length__max,0.024876776779529815
__length__min,0.02465783799182041
__volume__max,0.024403310436209847
__volume__mean,0.02380228457110594
__tortuosity__max,0.022523808745265547
__tortuosity__min,0.022287599000905902
__tortuosity__mean,0.022170317034967645
__curvature__sd__min,0.0174649232699595
__curvature__sd__max,0.016816888953583832
__curvature__sd__mean,0.016518559317282567
__curvature__mean__min,0.01624394504493482
__curvature__mean__max,0.015602953047563033
__curvature__mean__mean,0.01512423481215919
__curvature__q3__max,0.011124788077478609
__curvature__q3__mean,0.010559662796805275
__curvature__q3__min,0.010511596654505337
__curvature__max__min,0.008546177628278787
__curvature__max__max,0.008354127191617489
__curvature__max__mean,0.007791530433557672
__curvature__q1__min,0.0065883740129082866
__curvature__q1__max,0.006272931122067619
__curvature__median__max,0.006000844773028765
__curvature__q1__mean,0.005980053802779349
__curvature__median__mean,0.005635436087970776
__curvature__median__min,0.0051972884744134916
__curvature__min__max,0.0029846233792099604
__curvature__min__mean,0.002963568475437357
__curvature__min__min,0.002833502845220544
_bifurcation__angles__seg1/seg3__std,0.002653217005703248
_bifurcation__angles__seg2/seg3__std,0.0026140970201636465
_bifurcation__angles__seg1/seg2__std,0.0025016079257674023
_bifurcation__angles__seg2/seg3__count,0.0022192939127226303
_bifurcation__bifurcation__dist_angle__count,0.002199344259347303
_bifurcation__bifurcation__points_angle__count,0.0021437914591832807
_bifurcation__angles__seg1/seg2__count,0.002120004660051087
_bifurcation__angles__seg1/seg3__count,0.002074688474882915
_bifurcation__bifurcation__dist_angle__max,0.0005015995206376243
_bifurcation__bifurcation__dist_angle__mean,0.00043213819061095767
_bifurcation__bifurcation__dist_angle__min,0.00042469693162421366
_bifurcation__bifurcation__dist_angle__std,0.0
